index,season,first_cycling_race_id,position,first_cycling_rider_id,gc_time,stage,gc_time_leader,bib_number,first_cycling_team_id,team_name_invitational,gender,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date
137,2023,456,12,187839,NaN,GC,+ 49,91 ,34367,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
138,2023,456,13,120452,NaN,GC,+ 49,1 ,33369,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
139,2023,456,14,96313,NaN,GC,+ 50,132 ,34153,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
140,2023,456,15,74601,NaN,GC,+ 51,121 ,34371,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
141,2023,456,16,167910,NaN,GC,+ 01:00,123 ,34371,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
142,2023,456,17,8476,NaN,GC,+ 01:32,81 ,34338,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
143,2023,456,18,33489,NaN,GC,+ 01:48,56 ,34154,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
144,2023,456,19,111653,NaN,GC,+ 01:59,94 ,34367,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
145,2023,456,20,111842,NaN,GC,+ 02:17,125 ,34371,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
146,2023,456,21,167256,NaN,GC,+ 02:41,71 ,34495,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
147,2023,456,22,151980,NaN,GC,+ 02:48,124 ,34371,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
148,2023,456,23,158934,NaN,GC,+ 03:46,23 ,None,New Zealand,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
149,2023,456,24,188110,NaN,GC,+ 04:24,101 ,34370,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
150,2023,456,25,155161,NaN,GC,+ 04:36,51 ,34154,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
151,2023,456,26,90816,NaN,GC,+ 04:41,76 ,34495,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
152,2023,456,27,187838,NaN,GC,+ 05:32,15 ,34148,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
153,2023,456,28,45333,NaN,GC,+ 05:34,112 ,34369,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
154,2023,456,29,81783,NaN,GC,+ 05:50,95 ,34367,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
155,2023,456,30,17124,NaN,GC,+ 08:14,31 ,38114,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
156,2023,456,31,194773,NaN,GC,+ 08:22,53 ,34154,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
157,2023,456,32,90955,NaN,GC,+ 11:02,74 ,34495,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
158,2023,456,33,88063,NaN,GC,+ 11:42,75 ,34495,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
159,2023,456,34,10662,NaN,GC,+ 13:25,84 ,34338,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
160,2023,456,35,202327,NaN,GC,+ 15:14,114 ,34369,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
161,2023,456,36,42153,NaN,GC,+ 15:31,2 ,33369,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
162,2023,456,37,91367,NaN,GC,+ 15:42,25 ,None,New Zealand,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
163,2023,456,38,167855,NaN,GC,+ 17:17,115 ,34369,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
164,2023,456,39,89539,NaN,GC,+ 19:19,43 ,34149,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
165,2023,456,40,151971,NaN,GC,+ 19:21,45 ,34149,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
166,2023,456,41,202264,NaN,GC,+ 20:00,113 ,34369,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
167,2023,456,42,42156,NaN,GC,+ 21:02,12 ,34148,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
168,2023,456,DNF,63649,NaN,GC,,3 ,33369,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
169,2023,456,DNF,62709,NaN,GC,,4 ,33369,None,Men,NZ Cycle Classic,Road,NZ,2.2,Stage Race,2023/01/11,2023/01/15
