season,team_id,team_name,uci_division
2023,36845,Armed Forces Cycling Team,Men's Junior
2023,36027,Armonia CC,Men's Junior
2023,36832,Armonia de Roche,Men's Junior
2023,36290,ARO  Mohammedia,Men's Junior
2023,40219,Aro y Pedal Spec.,Men's Junior
2023,38989,Arras VC,Men's Junior
2023,37015,Artemisa,Men's Junior
2023,36928,ARTIFACT Racing Team,Men's Junior
2023,34798,Arvedi Cycling,Men's Junior
2023,38002,AS Romillé Cyclisme,Men's Junior
2023,36260,As.Beau Sejour,Men's Junior
2023,38743,As.El Amal Gharbaoui,Men's Junior
2023,37291,As.Majd Sarghni,Men's Junior
2023,36755,As.Pedala Itapema,Men's Junior
2023,38741,As.Pro Ciclismo,Men's Junior
2023,36300,As.Wifak Tit Mellil,Men's Junior
2023,37125,Asahi University,Men's Junior
2023,36421,ASC Karak,Men's Junior
2023,38993,ASC Mariscos Castellar,Men's Junior
2023,38284,Ascent Cycling pb RB Health,Men's Junior
2023,37532,Ascidele,Men's Junior
2023,36292,ASCJ Rhamna,Men's Junior
2023,33310,ASD Aries Cycling,Men's Junior
2023,37391,ASD Cattoli Andrea,Men's Junior
2023,37137,ASD Garlaschese,Men's Junior
2023,37192,ASD SC Reda Mokador,Men's Junior
2023,37118,Asfra Racing Team,Men's Junior
2023,37900,Asker CK,Men's Junior
2023,38378,ASMIC,Men's Junior
2023,37265,ASMT,Men's Junior
2023,36372,ASN Oran,Men's Junior
2023,36289,Asoc.Qawafil Sahara,Men's Junior
2023,36986,Asocipe-Moca,Men's Junior
2023,36987,Asodocy NYC,Men's Junior
2023,40013,Aspen Bici,Men's Junior
2023,40434,ASPTT Brive Agglo,Men's Junior
2023,33658,ASPTT Nancy,Men's Junior
2023,38749,ASS Radical Sports-Boituva,Men's Junior
2023,34955,Assam,Men's Junior
2023,38603,Association Sportive Tazi de Cyclis,Men's Junior
2023,38068,Astama Cycling Team,Men's Junior
2023,34172,AT85 Pro Cycling,Men's Junior
2023,36406,Atenas de Soriano,Men's Junior
2023,34854,Ateneo de Piriapolis,Men's Junior
2023,37407,Atibaia,Men's Junior
2023,36436,Atika Team,Men's Junior
2023,39205,Atom CC,Men's Junior
2023,38448,Attack Racing,Men's Junior
2023,34850,Audax de Flores,Men's Junior
2023,36500,Audi McKinney-Encore,Men's Junior
2023,36295,AUSC Chefchaouen,Men's Junior
2023,36566,Austin Aviators,Men's Junior
2023,37831,Auto Bahn Gotemba,Men's Junior
2023,38202,Auto Skoda Mlada Boreslav,Men's Junior
2023,38300,Automatic Abus Racing,Men's Junior
