season,gender,race_id,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date,race_tag
2023,Men,2119,Tour d'Eure-et-Loir,Road,FR,2.2,Stage Race,2023/06/09,2023/06/11,
2023,Men,199,GP Kanton Aargau,Road,CH,1.1,One Day,2023/06/09,2023/06/09,
2023,Men,361,Asia ITT,Road,,CCTT,One Day,2023/06/10,2023/06/10,
2023,Men,20012,Kirikkale Road Race,Road,TR,2.2,Stage Race,2023/06/10,2023/06/11,
2023,Men,425,Dwars door het Hageland,Road,BE,1.Pro,One Day,2023/06/10,2023/06/10,
2023,Men,362,Asia RR-U23,Road,,CCU,One Day,2023/06/11,2023/06/11,
2023,Men,20159,Courts Mammouth Classique de l'Île Maurice,Road,MU,1.2,One Day,2023/06/11,2023/06/11,
2023,Men,226,Giro Next Gen,Road,IT,2.2U,Stage Race,2023/06/11,2023/06/18,
2023,Men,8515,Elfstedenronde,Road,BE,1.1,One Day,2023/06/11,2023/06/11,
2023,Men,16,Tour de Suisse,Road,CH,2.UWT,Stage Race,2023/06/11,2023/06/18,
2023,Men,363,Asia RR,Road,,CCRR,One Day,2023/06/13,2023/06/13,
2023,Men,10459,CIC - Mont Ventoux,Road,FR,1.Pro,One Day,2023/06/13,2023/06/13,
2023,Men,235,Tour de Beauce,Road,CA,2.2,Stage Race,2023/06/14,2023/06/18,
2023,Men,211,Tour of Slovenia,Road,SI,2.Pro,Stage Race,2023/06/14,2023/06/18,
2023,Men,60,Belgium Tour,Road,BE,2.Pro,Stage Race,2023/06/14,2023/06/18,
2023,Men,212,Route d'Occitanie,Road,FR,2.1,Stage Race,2023/06/15,2023/06/18,
2023,Men,14426,Tour du Pays de Montbéliard,Road,FR,2.2,Stage Race,2023/06/16,2023/06/18,
2023,Men,86,Vuelta a Colombia,Road,CO,2.2,Stage Race,2023/06/16,2023/06/25,
2023,Men,257,Solidarnosc Champions,Road,PL,2.2,Stage Race,2023/06/28,2023/07/01,
2023,Men,17,Tour de France,Road,FR,2.UWT,Stage Race,2023/07/01,2023/07/23,Grand Tour
2023,Men,559,Giro del Medio Brenta,Road,IT,1.2,One Day,2023/07/02,2023/07/02,
2023,Men,2088,Midden Brabant,Road,NL,1.2,One Day,2023/07/02,2023/07/02,
2023,Men,38,Österreich-Rundfahrt,Road,AT,2.1,Stage Race,2023/07/02,2023/07/06,
2023,Men,662,Trofeo Citta di Brescia,Road,IT,1.2,One Day,2023/07/04,2023/07/04,
2023,Men,1026,Cent.America and Caribbean ITT,Road,,RCTT,One Day,2023/07/05,2023/07/05,
2023,Men,258,Sibiu Cycling Tour,Road,RO,2.1,Stage Race,2023/07/06,2023/07/09,
2023,Men,1027,Central American and Caribbean RR,Road,,RCRR,One Day,2023/07/07,2023/07/07,
2023,Men,582,GP Hungary,Road,HU,1.2,One Day,2023/07/08,2023/07/08,
2023,Men,11357,Grand Prix Erciyes,Road,TR,1.2,One Day,2023/07/08,2023/07/08,
2023,Men,581,GP Slovakia,Road,SK,1.2,One Day,2023/07/09,2023/07/09,
2023,Men,127,Tour of Qinghai Lake,Road,CN,2.Pro,Stage Race,2023/07/09,2023/07/16,
2023,Men,648,Pan Arab Games ITT,Road,,RCTT,One Day,2023/07/11,2023/07/11,
2023,Men,229,Valle d'Aosta,Road,IT,2.2U,Stage Race,2023/07/12,2023/07/16,
2023,Men,398,GP Torres Vedras,Road,PT,2.2,Stage Race,2023/07/13,2023/07/16,
2023,Men,703,GP de Gemenc,Road,HU,2.2,Stage Race,2023/07/14,2023/07/16,
2023,Men,649,Pan Arab Games RR,Road,,RCRR,One Day,2023/07/14,2023/07/14,
2023,Men,20074,SD WORX BW Classic,Road,BE,1.2,One Day,2023/07/19,2023/07/19,
2023,Men,20780,Tour of Huangshan,Road,CN,2.2,Stage Race,2023/07/21,2023/07/23,
2023,Men,579,GP Polski Via Odra,Road,PL,1.2,One Day,2023/07/22,2023/07/22,
2023,Men,193,Tour de Wallonie,Road,BE,2.Pro,Stage Race,2023/07/22,2023/07/26,
2023,Men,18957,Cupa Max Ausnit,Road,RO,1.2,One Day,2023/07/23,2023/07/23,
2023,Men,580,GP Czech Republic,Road,CZ,1.2,One Day,2023/07/23,2023/07/23,
2023,Men,583,GP de Pérenchies,Road,FR,1.2,One Day,2023/07/23,2023/07/23,
2023,Men,209,GP Kranj,Road,SI,1.2,One Day,2023/07/23,2023/07/23,
2023,Men,531,Mem. A.Trochanowskiego,Road,PL,1.2,One Day,2023/07/25,2023/07/25,
2023,Men,207,Villafranca de Ordizia,Road,ES,1.1,One Day,2023/07/25,2023/07/25,
2023,Men,230,Tour Alsace,Road,FR,2.2,Stage Race,2023/07/26,2023/07/30,
2023,Men,563,Dookola Mazowsza,Road,PL,2.2,Stage Race,2023/07/26,2023/07/29,
2023,Men,85,Vuelta a Castilla y León,Road,ES,2.1,Stage Race,2023/07/26,2023/07/27,
2023,Men,15209,Czech Tour,Road,CZ,2.1,Stage Race,2023/07/27,2023/07/30,
2023,Men,385,Kreiz Breizh Elites,Road,FR,2.2,Stage Race,2023/07/28,2023/07/31,
2023,Men,18,San Sebastian Klasikoa,Road,ES,1.UWT,One Day,2023/07/29,2023/07/29,
2023,Men,19,Tour de Pologne,Road,PL,2.UWT,Stage Race,2023/07/29,2023/08/04,
2023,Men,202,Circuito de Getxo,Road,ES,1.1,One Day,2023/07/30,2023/07/30,
2023,Men,20018,Grand Prix Kültepe,Road,TR,1.2,One Day,2023/07/30,2023/07/30,
2023,Men,8208,Jeux de la Francophonie RR,Road,,RCRR,One Day,2023/07/30,2023/07/30,
2023,Men,4014,Puchar Mon,Road,PL,1.2,One Day,2023/07/30,2023/07/30,
2023,Men,63,Tour de l'Ain,Road,FR,2.1,Stage Race,2023/07/31,2023/08/02,
2023,Men,20021,100th Anniversary Tour of The Republic,Road,TR,2.2,Stage Race,2023/08/01,2023/08/05,
2023,Men,586,Tour de la Guadeloupe,Road,FR,2.2,Stage Race,2023/08/04,2023/08/13,
2023,Men,26,World Championship RR,Road,,WCRR,One Day,2023/08/06,2023/08/06,
2023,Men,566,Tour of Szeklerland,Road,RO,2.2,Stage Race,2023/08/09,2023/08/12,
2023,Men,46,World Championship ITT-U23,Road,,WCUT,One Day,2023/08/09,2023/08/09,
2023,Men,197,Volta a Portugal,Road,PT,2.1,Stage Race,2023/08/09,2023/08/20,
2023,Men,27,World Championship ITT,Road,,WCTT,One Day,2023/08/11,2023/08/11,
2023,Men,383,Mem.Henryka Lasaka,Road,PL,1.2,One Day,2023/08/12,2023/08/12,
2023,Men,43,World Championship RR-U23,Road,,WCU,One Day,2023/08/12,2023/08/12,
2023,Men,11633,Gran Premio Guatemala,Road,GT,1.2,One Day,2023/08/12,2023/08/12,
2023,Men,389,GP Poggiana,Road,IT,1.2U,One Day,2023/08/13,2023/08/13,
